v,s,insum,serr,vmod,smod,gaussian fit params,,
,,,,-651.9799,0.00377,,,
,,,,-650.9799,0.00381,,,
,,,,-649.9799,0.00385,,,
,,,,-648.9799,0.00389,,,
,,,,-647.9799,0.00394,,,
,,,,-646.9799,0.00398,,,
,,,,-645.9799,0.00402,,,
,,,,-644.9799,0.00406,,,
,,,,-643.9799,0.00411,,,
,,,,-642.9799,0.00415,,,
,,,,-641.9799,0.00419,,,
,,,,-640.9799,0.00424,,,
,,,,-639.9799,0.00428,,,
,,,,-638.9799,0.00433,,,
,,,,-637.9799,0.00437,,,
,,,,-636.9799,0.00442,,,
,,,,-635.9799,0.00446,,,
,,,,-634.9799,0.00451,,,
,,,,-633.9799,0.00456,,,
,,,,-632.9799,0.00461,,,
,,,,-631.9799,0.00465,,,
,,,,-630.9799,0.0047,,,
,,,,-629.9799,0.00475,,,
,,,,-628.9799,0.0048,,,
,,,,-627.9799,0.00485,,,
,,,,-626.9799,0.0049,,,
,,,,-625.9799,0.00495,,,
,,,,-624.9799,0.005,,,
,,,,-623.9799,0.00505,,,
,,,,-622.9799,0.0051,,,
,,,,-621.9799,0.00515,,,
,,,,-620.9799,0.00521,,,
,,,,-619.9799,0.00526,,,
,,,,-618.9799,0.00531,,,
,,,,-617.9799,0.00537,,,
,,,,-616.9799,0.00542,,,
,,,,-615.9799,0.00547,,,
,,,,-614.9799,0.00553,,,
,,,,-613.9799,0.00558,,,
,,,,-612.9799,0.00564,,,
,,,,-611.9799,0.0057,,,
,,,,-610.9799,0.00575,,,
,,,,-609.9799,0.00581,,,
,,,,-608.9799,0.00587,,,
,,,,-607.9799,0.00592,,,
,,,,-606.9799,0.00598,,,
,,,,-605.9799,0.00604,,,
,,,,-604.9799,0.0061,,,
,,,,-603.9799,0.00616,,,
,,,,-602.9799,0.00622,,,
,,,,-601.9799,0.00628,,,
,,,,-600.9799,0.00634,,,
,,,,-599.9799,0.0064,,,
,,,,-598.9799,0.00647,,,
,,,,-597.9799,0.00653,,,
,,,,-596.9799,0.00659,,,
,,,,-595.9799,0.00666,,,
,,,,-594.9799,0.00672,,,
,,,,-593.9799,0.00678,,,
,,,,-592.9799,0.00685,,,
,,,,-591.9799,0.00691,,,
,,,,-590.9799,0.00698,,,
,,,,-589.9799,0.00705,,,
,,,,-588.9799,0.00711,,,
,,,,-587.9799,0.00718,,,
,,,,-586.9799,0.00725,,,
,,,,-585.9799,0.00732,,,
,,,,-584.9799,0.00739,,,
,,,,-583.9799,0.00746,,,
,,,,-582.9799,0.00753,,,
,,,,-581.9799,0.0076,,,
,,,,-580.9799,0.00767,,,
,,,,-579.9799,0.00774,,,
,,,,-578.9799,0.00781,,,
,,,,-577.9799,0.00788,,,
,,,,-576.9799,0.00796,,,
,,,,-575.9799,0.00803,,,
,,,,-574.9799,0.0081,,,
,,,,-573.9799,0.00818,,,
,,,,-572.9799,0.00825,,,
,,,,-571.9799,0.00833,,,
,,,,-570.9799,0.0084,,,
,,,,-569.9799,0.00848,,,
,,,,-568.9799,0.00856,,,
